context,response,context_length,response_length
He seems fine with it. Your Patient is an adjunct faculty member here but currently... The budget committee voted to charge for cable in the Patient rooms.,"Slippery slope. Today we withhold porn, tomorrow it's clean bandages.",27,10
"Talk to Carlson in Derm, he runs the budget committee... After you look at this.","After you talk to Carlson, maybe I'll...",15,7
The Patient is trapped at the South Pole.,"Well that wouldn't be any fun. And for the next two months, winds make it impossible to fly anything in or out.",8,22
"It's possible. She's on birth control. Lots of sex could lead to urinary tract infection, which could lead to an infection-laced struvite kidney stone.",Excessive Antarctic drilling. Bad for the environment and the ladies.,24,10
Excessive Antarctic drilling. Bad for the environment and the ladies.,This is where it gets fun. These are the supplies and medications she has available.,10,15
"I don't mean medical stuff, other stuff. Some geological equipment breaks ice and rock the same way we break kidney stones. Discovery channel. I like watParkng them blow stuff up.",Who doesn't? That reminds me.,30,5
Who doesn't? That reminds me.,Coma guy needs cable. Women's billiards is the only thing that's keeping him alive.,5,14
I'm sure Carlson will be moved by HIS plight.,Carlson won't listen to me since I hit on his wife.,9,11
Charging Patients for cable is bringing in 13 grand a month.,"Until this injustice is righted, I am going to waste 13 grand a day. It's 2 dollars 49 cents down.",11,20
"Get an EKG and a cardiac enzyme. If those check out, discharge him and tell him to get a snow blower.",How much is 13 grand divided by 4 cents?,21,9
I am not giving you cable. You're going to have to somehow survive with the broadcast networks alone.,I'll be fine on Tuesdays.,18,5
Some are bigger than others. Some are inside me.,"How's it going, team MacGyver? Oh, great. I can't get cable, but I can get the South Pole on hi-def.",9,20
We're almost ready to start the test.,"Test? Did Ford test the Edsel? Did Coke test New Coke? Did Shakespeare test his final play, Snow Dogs?",7,19
Why? No way you're just doing her a favour.,"ER is standing room only. Which means Cameron's bound to make a mistake. Find it so I can blackmail her. As far as you know, this is way more than just some silly battle over cable.",9,36
"I am not doing this. Your kidney stone theory hinges on me having sex, but I...",Let me guess. You're as pure as the driven snow.,16,10
"Only if the snow likes to be on top. But I am here doing psychological research, generally not a good idea to swap fluids with your subjects.",Struvite stones are possible in people who don't have sex. They're certainly possible in people who claim not to have...,27,20
I've had no UTIs. No pain on urination.,You do realise that only one of us is a real doctor?,8,12
"That'll tell us if her kidney function's declining. If it is, he's right. Struvite stone's most likely explanation. If not, she's right. Sorry, I know how you like to avoid avoiding confrontation.","While we're waiting for that test to prove me right, start IV cefuroxime. Keep the infection in the stone from wiping out your kidneys.",32,24
I'll send the chem 7 results when I'm done.,"She's a great psyParkatrist. One session, I've got shrinkage.",9,9
The decreased function could be from dehydration caused by vomiting due to a gallstone.,You agreed that the chem 7 would decide if it was a struvite stone.,14,14
"While you're waiting, we should run another test with the geology equipment...",You're not taking the cefuroxime. She's right handed. Means she would've put the IV in her left arm. Catheter in the arm makes it hard to bend the elbow the way people do when they drink!,12,36
We have a limited supply of medication and I'm not about to waste it.,"Last I checked, you had a limited supply of doctors.",14,10
It's because I'm pissed off!,Lift up your Parkn. Show me your windpipe.,5,8
It's deviating to the left.,Means her right lung is collapsing.,5,6
You need to call someone.,There's no time. Get a syringe and a needle.,5,9
She could pass out. She needs...,"She needs to re-inflate that lung. Okay, now pull out that plunger. I want you to stab yourself in your right side between the second and third rib in the midclavicular line. By the time we get someone else there, you'll have suffoCated. Just do it. See all the good stuff that happens when you listen to me?",6,58
Means it's not a kidney stone.,"Right side pain, vomiting, and now a lung that gets traumatised without any trauma. Sounds odd, pRobably is odd.",6,19
"We should discuss this, then call her back.",No it's fine. I made sure we got the South Pole long distance plan. Your latest kidney function test shows...,8,20
"I know what it shows, I ran it.","The more you interrupt, the longer my grandstanding is going to take.",8,12
Since when do you let Patients participate in differentials?,"Since the Patient and her doctor happen to be the same person. Your kidney function is still declining, means you have a kidney pRoblem.",9,24
But not one that needed antibiotics. Makes us equally wrong.,"No, makes us both wrong. Not equally. You were at least six wronger.",10,13
"No, makes us both wrong. Not equally. You were at least six wronger.",They run a PPD before you shipped out?,13,8
Excuse us a second. Cancer explains the symptoms. A tumour in her lung or kidney that threw a clot to the other organ.,"And you're worried the tumour might overhear, realise we're on to it.",23,12
Obviously you two think I'm in bad shape.,Only if you count the tumour.,8,6
She said she cares about other people? What a poser. KUB is clean. You don't like her because she's a psyParkatrist.,I'm a compliCated Man. I loathe her for Many reasons.,21,10
NEver before has a profession been so decried by someone who needed it so badly.,You talk a lot of smack about tranny hookers.,15,9
"PRobably, but we can't confirm it without a biopsy.",You can't analyse a biopsy without a stain.,9,8
She can't biopsy that node without a surgical team and an OR.,"Anything with a strong colour could work as a stain. Printer ink, food colouring, coffee.",12,15
How dare you? The X-rays don't show any other abnormal nodes.,Abnormal nodes can be felt before they can be seen on an X-ray. You're wearing that shirt for someone.,11,19
The health department. They frown on topless oncology. You're going to do a physical?,Have to. You and Foreman are going to be here looking for a stain.,14,14
I can do the physical. There's no reason you need to watch.,I can think of at least three reasons. One of them's medical.,12,12
Where are you? Not in your office.,You're not in the hospital. No reason for me to be.,7,11
I am not undressing for you in your apartment.,You're not in my apartment. You're three quarters of a world away. I promise not to get fresh.,9,18
I'm not taking off my clothes.,One of us has to.,6,5
I am not exposing myself without some reciprocity.,"It's my apartment, it's not my soul. Living room.",8,9
Slow down. Lots of books. I'm betting all medical.,Only if you count Jenna Jameson's autobiography as a gynaecological text.,9,11
Fiction is a waste of time unless you can laugh at it.,I love to laugh. Moving on.,12,6
Back up. How bad is the insomnia? Let me quantify that. Do you drink two or three scotches before passing out in front of the TV?,You are so far off. It's bourbon.,26,7
No photos anywhere. Family and friends aren't important?,"Well, you're sick. You have 20 people down the hall and you've had exactly one visitor.",8,16
